feature,importance
crash_lag_5,0.040629801577639936
crash_lag_3,0.04058968280904608
crash_lag_1,0.04004821413580773
crash_lag_2,0.04000208206902225
profit_per_user,0.03852821212779672
max_player_pnl_in_round,0.038439632147853044
crashed_at,0.03675014157158037
bank_per_user,0.03660290880720415
bank_lag_5,0.03594893701290138
profit_loss,0.03575087984652384
avg_player_pnl_in_round,0.03514426390996024
bank_lag_3,0.0351071628416217
pnl_of_max_bet_player,0.03493648196848929
bank_lag_2,0.03299515876320028
bank_lag_1,0.032512678462759556
crash_mean_5,0.03225456922188739
total_bank_usd,0.03206646892348744
crash_std_10,0.031705450686975806
crash_mean_10,0.031033609040904
crash_std_5,0.031004338005838714
historical_q90,0.02878293552073871
users_mean_10,0.028633317613742153
users_lag_5,0.027338722163042336
users_mean_5,0.026984301831332883
users_lag_1,0.026214390026969264
users_count,0.02617099209192891
users_lag_3,0.026021071602974857
users_lag_2,0.025484838848340883
num_winning_players,0.021256556163325543
historical_q75,0.019695335166157478
hour,0.017116394101901845
day_of_week,0.008298567182205455
historical_q25,0.005951903756839799
